Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Venezuela,2009,77th,79.5,6.9,7.7,7.0,5.3,8.0,6.9,7.2,5.9,7.3,6.8,5.0,5.5
Serbia  ,2009,78th,79.2,6.3,7.9,7.9,5.9,7.4,5.5,7.3,5.2,5.8,5.8,7.3,6.9
Thailand,2009,78th,79.2,7.5,8.0,8.0,3.8,7.7,4.5,8.2,5.4,6.9,6.9,6.5,5.8
Gambia,2009,80th,79.0,6.0,6.2,4.4,7.4,7.0,6.4,7.8,7.1,6.9,7.2,5.7,6.9
Fiji,2009,81st,78.8,6.7,8.2,7.3,6.3,7.7,6.5,8.6,5.0,6.1,6.1,4.3,6.0
Maldives,2009,81st,78.8,6.3,7.4,5.2,6.7,5.2,7.0,7.2,7.3,7.5,6.5,6.5,6.0
Mali,2009,83rd,78.7,6.5,4.0,6.5,8.3,6.9,7.4,5.3,8.4,5.2,8.7,4.6,6.9
Cape Verde,2009,84th,78.5,5.7,6.1,4.4,7.2,6.2,8.2,7.4,7.6,6.2,7.9,4.0,7.6
Turkey,2009,85th,78.2,7.0,7.8,7.7,5.3,8.0,5.0,6.5,5.3,6.0,6.8,6.6,6.2
Jordan,2009,86th,77.9,6.0,6.5,6.8,6.5,7.4,5.0,6.0,5.4,6.9,6.7,7.9,6.8
India,2009,87th,77.8,7.1,6.0,7.3,5.0,8.9,6.7,5.5,7.0,6.0,8.3,4.9,5.1
Dominican Republic,2009,88th,77.7,5.8,6.8,6.0,5.6,8.0,8.5,5.8,6.7,6.7,6.7,5.3,5.8
Saudi Arabia,2009,89th,77.5,8.0,7.8,8.0,2.7,7.0,3.4,8.4,4.3,8.9,6.5,6.0,6.5
El Salvador,2009,90th,77.2,6.4,4.5,6.2,6.3,7.8,6.9,7.0,6.6,6.9,7.6,5.7,5.3
Honduras,2009,90th,77.2,6.0,6.1,5.0,7.2,8.5,6.3,7.0,7.1,6.3,7.8,4.0,5.9
Morocco,2009,92nd,77.1,5.1,6.2,6.8,6.5,7.8,6.2,7.4,6.5,6.7,7.0,6.7,4.2
Peru,2009,92nd,77.1,7.2,6.9,6.4,5.6,8.2,7.3,6.9,6.3,5.5,6.6,4.5,5.7
Vietnam,2009,94th,76.9,6.2,7.1,5.5,6.7,6.5,6.0,7.3,6.3,7.2,6.8,5.3,6.0
Sao Tome and Principe,2009,95th,76.7,5.6,6.3,5.0,7.9,6.1,7.3,7.3,7.5,5.3,8.0,4.0,6.4
Namibia,2009,96th,75.6,5.8,3.6,5.8,6.1,9.1,7.7,5.0,7.1,6.0,7.7,5.5,6.2
Benin,2009,97th,75.5,5.2,4.3,4.1,6.9,7.4,7.0,6.6,8.0,5.6,7.5,6.2,6.7
Mexico,2009,98th,75.4,7.0,5.0,5.9,6.1,8.2,7.0,6.8,6.0,5.5,7.0,4.3,6.6
Gabon,2009,99th,74.4,5.9,7.2,3.0,5.5,7.8,6.0,7.3,6.8,6.3,7.2,5.7,5.7
Macedonia,2009,99th,74.4,5.8,6.7,7.5,6.3,7.3,6.9,7.4,4.8,5.3,5.0,4.6,6.8
Armenia,2009,101st,74.3,5.3,6.9,6.0,5.3,6.5,6.7,7.1,5.4,6.1,5.9,7.2,5.9
Senegal,2009,102nd,74.2,5.9,4.0,6.3,6.5,7.5,5.6,6.0,7.3,6.0,7.4,6.0,5.7
Suriname,2009,103rd,73.2,6.2,5.8,6.2,6.3,7.9,6.9,6.7,5.0,6.0,6.2,3.9,6.1
Guyana,2009,104th,73.0,6.8,5.1,6.1,6.6,7.9,7.9,6.7,5.5,5.4,6.3,3.5,5.2
Kazakhstan,2009,105th,72.5,6.5,7.6,5.5,6.4,6.4,4.0,7.7,5.3,6.8,6.0,3.9,6.4
Paraguay,2009,106th,72.0,5.3,7.5,6.5,5.9,7.9,6.0,7.9,6.0,6.9,6.4,1.3,4.4
Micronesia,2009,107th,71.9,5.3,5.5,4.5,6.6,7.0,8.3,6.6,6.8,3.0,7.2,3.1,8.0
Samoa,2009,108th,71.4,6.0,5.5,5.2,5.8,6.8,8.2,6.6,5.0,4.7,6.5,3.0,8.1
Albania,2009,109th,70.0,5.5,5.9,5.4,6.5,5.9,7.2,7.3,5.8,5.8,6.4,2.6,5.7
Ukraine,2009,110th,69.7,3.3,7.9,6.9,5.5,6.4,7.1,7.2,4.2,5.5,6.1,3.0,6.6
Belize,2009,111th,69.5,5.9,4.6,4.9,6.0,7.3,6.9,6.2,5.7,4.0,7.0,5.0,6.0
Libya,2009,112th,69.4,5.4,7.1,5.8,5.5,7.1,4.0,7.1,4.2,8.1,5.9,4.2,5.0
Brazil,2009,113th,69.1,6.9,5.1,6.4,4.1,8.9,5.0,6.4,6.0,5.6,6.4,3.9,4.4
Cyprus,2009,114th,68.9,5.2,7.9,7.5,4.0,7.8,5.2,5.4,3.6,3.8,5.0,4.5,9.0
Malaysia,2009,114th,68.9,6.1,6.1,6.2,4.7,6.9,3.8,6.1,5.2,6.5,6.5,5.2,5.6
Botswana,2009,116th,68.8,4.0,2.8,4.3,5.6,7.2,6.0,5.8,6.4,5.0,9.2,6.7,5.8
Jamaica,2009,117th,68.6,6.0,4.0,4.5,6.6,6.7,6.3,7.0,6.4,5.7,6.4,2.7,6.3
Brunei Darussalam,2009,118th,68.1,6.1,7.4,6.6,3.4,7.8,4.0,7.9,3.6,6.8,5.4,4.4,4.7
Grenada,2009,119th,67.9,5.5,5.8,4.5,5.9,6.9,7.8,6.3,4.1,4.7,5.9,2.9,7.6
Seychelles,2009,120th,67.7,5.6,6.0,5.0,4.8,6.8,4.7,7.1,4.6,5.9,6.3,4.4,6.5
Tunisia,2009,121st,67.6,6.2,6.0,5.4,4.9,7.2,5.3,6.6,6.1,7.4,5.9,3.2,3.4
South Africa,2009,122nd,67.4,4.3,5.9,5.3,4.6,8.5,4.3,5.5,5.7,4.5,8.4,7.4,3.0
Trinidad and Tobago,2009,123rd,66.7,5.7,5.6,4.9,4.5,7.6,7.1,6.1,5.4,5.6,5.8,3.1,5.3
Ghana,2009,124th,66.2,2.4,4.2,5.4,5.5,6.6,8.1,5.3,7.2,4.7,7.0,5.1,4.7
Kuwait,2009,125th,63.4,5.1,7.2,5.1,3.5,6.1,4.3,6.5,3.5,6.9,5.7,4.2,5.3
Antigua and Barbuda,2009,126th,62.8,5.0,4.4,4.3,4.8,6.5,7.8,5.8,5.0,5.0,4.7,3.6,5.9
Mongolia,2009,127th,61.9,5.0,5.7,4.3,5.9,5.8,2.3,6.7,5.5,6.6,5.8,1.2,7.1
Bulgaria,2009,128th,61.5,5.3,4.6,4.4,5.0,6.3,6.0,6.0,5.0,4.8,4.7,3.8,5.6
Romania,2009,129th,61.3,4.3,5.1,5.5,5.3,5.8,5.1,6.2,5.0,4.5,5.6,3.4,5.5
Bahamas,2009,130th,60.9,5.3,4.8,5.0,4.4,6.9,5.7,5.5,4.6,3.0,6.7,3.7,5.3
Croatia,2009,131st,60.1,4.3,4.3,5.4,5.9,5.5,4.8,4.5,3.9,4.7,4.9,6.1,5.8
Panama,2009,132nd,59.7,5.1,3.0,4.6,5.6,7.3,5.0,4.7,5.5,4.7,6.6,3.4,4.2
Bahrain,2009,133rd,59.0,4.4,6.1,6.4,3.5,5.9,3.7,6.9,3.1,5.0,5.0,3.1,5.9
Montenegro,2009,134th,58.0,4.7,6.0,6.4,4.6,4.6,2.5,4.7,4.0,5.5,5.1,4.1,5.8
Barbados,2009,135th,57.2,5.0,4.5,5.3,5.2,7.1,7.0,4.5,2.8,3.0,4.1,3.3,5.4
Latvia,2009,136th,54.6,2.9,4.3,4.5,5.5,6.2,5.0,5.1,4.4,3.7,4.5,4.5,4.0
Costa Rica,2009,137th,52.5,2.2,3.2,4.1,5.0,6.7,4.7,4.1,4.0,3.5,5.7,4.5,4.8
Qatar,2009,138th,51.9,2.5,5.0,5.2,4.4,5.3,3.3,6.5,2.6,4.5,4.7,3.2,4.7
United Arab Emirates,2009,139th,51.8,2.3,4.0,4.7,3.2,5.7,3.3,6.7,3.6,5.8,4.6,3.4,4.5
Estonia,2009,140th,51.2,2.5,5.5,4.9,4.4,5.4,4.0,4.7,3.5,3.5,4.7,4.4,3.7
Hungary,2009,141st,50.7,2.1,5.0,3.4,5.0,6.1,5.0,5.5,3.8,3.5,3.5,3.0,4.8
Poland,2009,142nd,49.6,2.3,3.7,3.2,4.8,4.9,6.1,4.4,3.9,4.0,4.9,3.0,4.4
Malta,2009,143rd,48.8,4.0,1.7,4.0,3.9,4.6,4.3,4.3,3.5,3.6,3.9,6.0,5.0
Slovak Republic,2009,144th,48.6,2.0,3.9,4.3,4.6,5.8,5.4,3.9,4.0,4.0,4.3,2.0,4.4
Lithuania,2009,145th,48.0,2.1,3.0,4.2,4.7,6.2,5.2,4.1,3.4,3.5,4.5,2.8,4.3
Oman,2009,146th,47.2,5.0,6.6,3.0,4.4,2.3,1.3,6.0,4.5,6.4,4.5,1.0,2.2
Greece,2009,147th,46.1,3.5,2.0,4.4,4.0,4.8,4.7,4.5,3.9,3.6,4.5,2.7,3.5
Argentina,2009,148th,44.7,2.1,3.1,4.5,4.8,5.5,4.0,3.4,4.2,4.0,4.1,2.0,3.0
Mauritius,2009,148th,44.7,3.6,3.3,3.5,4.3,5.9,2.4,5.3,4.4,3.9,3.9,1.0,3.2
Italy,2009,150th,43.9,4.0,3.7,4.5,4.4,4.7,3.0,4.3,2.8,2.6,3.8,3.7,2.4
Spain,2009,151st,43.3,5.2,5.7,6.2,4.0,5.2,1.7,1.3,2.6,2.7,3.9,2.6,2.2
Czech Republic,2009,152nd,42.6,2.0,3.3,3.6,4.1,4.3,4.5,3.6,3.8,3.5,3.5,2.7,3.7
South Korea,2009,153rd,41.6,1.4,3.6,4.1,2.1,2.4,5.0,4.1,2.2,2.7,4.0,3.5,6.5
Uruguay,2009,154th,41.2,3.3,2.5,2.0,4.1,5.2,5.8,2.8,3.6,2.5,4.7,1.0,3.7
Chile,2009,155th,37.5,2.0,1.5,3.6,4.3,4.4,2.1,2.0,4.2,3.6,4.0,2.5,3.3
Slovenia,2009,156th,36.3,2.7,1.3,3.4,3.6,5.2,3.5,3.0,3.2,3.2,3.6,1.3,2.3
Germany,2009,157th,36.2,2.1,1.8,4.9,3.2,4.9,2.8,2.3,1.9,2.5,3.5,3.9,2.4
France,2009,158th,35.3,1.2,2.0,5.8,3.3,5.5,2.0,1.8,1.5,2.9,3.9,3.0,2.4
United States,2009,159th,34.0,1.4,2.5,3.3,2.9,5.3,1.0,3.0,2.3,4.0,3.1,3.7,1.5
Singapore,2009,160th,33.8,1.0,4.1,3.1,3.2,3.0,2.7,4.0,1.5,4.3,3.0,1.1,2.8
United Kingdom,2009,161st,33.6,2.6,2.9,4.3,2.5,4.7,1.9,1.8,2.2,2.3,3.2,2.8,2.4
Belgium,2009,162nd,33.5,1.7,3.5,4.9,3.2,4.9,1.3,2.8,2.0,1.7,2.8,1.7,3.0
Portugal,2009,163rd,32.7,1.1,1.2,2.6,4.2,3.9,2.3,1.6,3.8,3.7,3.9,1.4,3.0
Japan,2009,164th,31.2,2.0,2.0,3.8,3.1,2.5,2.0,2.0,1.2,3.4,4.2,1.1,3.9
Iceland,2009,165th,29.0,1.0,2.0,1.0,6.7,2.5,3.2,2.2,1.4,2.1,1.0,0.9,5.0
Canada,2009,166th,27.7,1.1,2.4,3.0,2.0,4.7,2.1,1.7,1.2,2.1,3.3,2.4,1.7
Austria,2009,167th,27.6,1.0,2.4,3.6,2.3,4.9,1.1,1.6,1.4,1.6,2.9,2.2,2.6
Luxembourg,2009,167th,27.6,2.0,3.6,3.2,2.2,2.5,1.2,2.9,2.4,1.5,2.1,1.5,2.5
Netherlands,2009,169th,27.0,1.0,1.4,4.7,2.5,3.3,2.1,1.4,1.4,1.2,2.9,3.1,2.0
Australia,2009,170th,25.9,1.0,1.5,3.4,2.8,4.4,1.1,1.4,1.4,2.5,3.1,2.2,1.1
New Zealand,2009,171st,23.3,1.0,1.2,3.2,3.6,4.2,2.3,1.1,1.4,1.7,1.3,1.2,1.1
Denmark,2009,172nd,23.2,1.3,1.0,3.0,2.7,2.2,2.0,1.3,1.5,1.5,3.0,1.6,2.1
Ireland,2009,173rd,21.6,1.1,1.3,1.0,2.7,3.0,2.0,1.8,2.3,1.5,1.9,1.5,1.5
Switzerland,2009,174th,21.2,1.0,1.0,2.9,2.1,2.6,2.0,1.2,1.6,1.7,2.6,1.3,1.2
Sweden,2009,175th,20.6,1.1,1.3,1.3,1.6,2.3,2.0,1.0,1.2,1.6,2.8,2.6,1.8
Finland,2009,176th,19.2,0.9,0.9,1.2,2.4,1.9,2.1,0.9,1.1,1.7,2.5,1.6,2.0
Norway,2009,177th,18.3,1.1,1.1,1.3,2.3,2.2,1.1,1.0,1.3,1.5,1.9,1.6,1.9
