Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Yemen,2008,21st,95.4,8.2,8.9,7.3,8.2,8.8,7.2,8.0,8.3,7.5,8.6,7.2,7.2
Niger,2008,22nd,94.5,7.5,6.7,9.2,9.2,7.2,6.0,8.4,9.1,7.9,9.5,6.0,7.8
Nepal,2008,23rd,94.2,8.5,8.3,9.0,8.2,9.2,6.1,8.3,7.0,8.8,8.1,5.5,7.2
Burundi,2008,24th,94.1,6.8,7.8,6.7,8.0,8.8,6.5,7.1,9.0,7.5,9.1,8.2,8.6
Timor-Leste,2008,25th,93.8,8.8,8.5,7.1,8.2,6.5,5.3,9.0,8.0,6.9,8.1,8.6,8.8
Congo Republic,2008,26th,93.4,7.9,7.2,6.8,8.0,8.1,6.1,8.8,8.8,7.9,8.7,7.7,7.4
Kenya,2008,26th,93.4,7.1,8.4,7.6,6.9,8.1,8.0,8.2,7.4,7.2,8.7,8.5,7.3
Uzbekistan,2008,26th,93.4,9.0,9.2,7.1,7.7,8.6,7.1,9.3,6.8,9.2,7.7,5.4,6.3
Malawi,2008,29th,92.9,5.4,7.6,6.0,9.1,8.8,8.2,8.0,9.0,7.8,9.0,6.2,7.8
Solomon Islands,2008,30th,92.4,7.7,8.8,8.0,8.0,8.0,5.1,8.7,8.5,7.1,8.7,4.8,9.0
Sierra Leone,2008,31st,92.3,6.4,7.5,6.9,8.7,8.2,8.4,7.7,8.2,7.0,8.6,7.4,7.3
Guinea Bissau,2008,32nd,91.3,8.4,7.1,5.4,8.2,8.6,7.0,7.9,8.5,8.0,8.0,6.5,7.7
Cameroon,2008,33rd,91.2,7.8,8.2,7.1,6.1,8.7,7.9,8.7,7.6,7.4,7.4,7.1,7.2
Liberia,2008,34th,91.0,6.7,7.9,6.0,8.3,8.3,6.5,7.0,8.5,6.7,8.1,8.4,8.6
Syria,2008,35th,90.1,7.6,7.7,8.0,6.8,8.1,6.8,8.8,5.7,8.8,6.5,9.0,6.3
Burkina Faso,2008,36th,89.9,7.6,7.7,6.4,8.1,8.9,6.6,7.6,8.9,6.6,8.6,5.6,7.3
Colombia,2008,37th,89.0,8.0,8.3,7.4,3.8,8.4,8.4,7.9,6.0,7.2,6.8,9.2,7.6
Tajikistan,2008,38th,88.9,7.8,8.6,6.5,7.0,7.3,6.4,9.2,7.1,8.8,7.9,6.1,6.2
Kyrgyz Republic,2008,39th,88.8,8.1,7.5,6.8,7.5,8.0,7.4,8.4,6.5,7.9,7.5,5.8,7.4
Egypt,2008,40th,88.7,6.1,8.4,7.7,6.9,7.8,6.2,9.0,6.3,8.5,7.5,6.3,8.0
Laos,2008,40th,88.7,8.2,8.6,6.8,7.1,5.7,6.6,8.2,8.0,8.9,8.0,5.7,6.9
Equatorial Guinea,2008,42nd,88.0,9.0,8.5,7.0,3.9,9.2,7.4,9.4,8.3,9.5,7.8,2.0,6.0
Rwanda,2008,42nd,88.0,4.6,7.8,8.5,7.3,7.4,7.5,8.2,6.8,7.3,9.1,7.0,6.5
Eritrea,2008,44th,87.4,7.5,7.2,5.6,8.5,5.9,6.0,8.4,7.9,7.4,8.6,7.1,7.3
Togo,2008,45th,86.8,7.8,7.5,6.0,8.2,7.5,6.5,7.2,8.0,7.9,7.7,5.6,6.9
Turkmenistan,2008,46th,86.2,8.3,7.9,6.2,7.1,7.3,5.6,8.7,7.7,9.6,7.0,4.5,6.3
Mauritania,2008,47th,86.1,7.2,7.6,8.0,7.8,7.0,5.0,6.6,8.1,6.9,8.4,6.2,7.3
Cambodia,2008,48th,85.8,6.2,7.2,7.5,6.6,7.2,8.0,8.3,7.6,7.1,7.8,5.7,6.6
Iran,2008,49th,85.7,8.5,9.0,7.3,4.3,7.4,5.0,8.0,5.8,8.7,6.5,8.7,6.5
Moldova,2008,49th,85.7,6.5,7.7,7.3,7.2,7.2,8.4,8.3,7.0,7.1,7.0,4.7,7.3
Bhutan,2008,51st,85.4,4.6,7.7,7.0,7.8,8.7,6.7,7.7,6.7,8.3,6.5,7.5,6.2
Papua New Guinea,2008,52nd,84.6,7.0,6.7,8.0,7.3,9.0,7.9,7.8,7.8,6.1,7.5,3.5,6.0
Belarus,2008,53rd,84.4,6.5,8.5,6.7,6.7,7.2,5.0,9.3,6.6,8.8,7.7,4.3,7.1
Bosnia and Herzegovina,2008,54th,84.3,7.3,8.6,8.5,5.5,7.2,6.0,7.9,5.4,5.3,6.1,8.0,8.5
Bolivia,2008,55th,84.2,6.2,8.5,7.3,6.4,8.5,7.0,7.4,7.6,7.0,7.7,4.2,6.4
Angola,2008,56th,83.8,6.2,7.5,5.9,4.0,9.0,5.0,8.4,7.6,7.5,8.6,6.9,7.2
Georgia,2008,56th,83.8,7.7,8.3,8.1,5.4,6.9,5.7,8.4,5.9,5.9,6.3,6.8,8.4
Israel and West Bank,2008,58th,83.6,5.5,8.0,9.0,3.9,7.5,3.8,7.5,7.2,7.9,7.2,8.1,8.0
Philippines,2008,59th,83.4,7.4,7.8,7.0,5.9,7.6,7.2,8.3,5.9,6.8,6.9,5.7,6.9
Indonesia,2008,60th,83.3,7.1,7.0,5.9,6.3,8.0,7.5,6.8,6.7,6.8,7.0,7.3,6.9
Lesotho,2008,61st,81.7,6.3,6.9,5.6,8.2,5.6,6.0,7.6,8.5,6.8,9.1,4.6,6.5
Nicaragua,2008,61st,81.7,6.5,7.1,6.5,7.5,8.4,6.8,6.3,7.5,5.4,7.5,5.7,6.5
Zambia,2008,63rd,81.6,5.5,5.5,5.2,8.1,7.4,6.7,7.8,7.9,5.8,8.8,6.4,6.5
Azerbaijan,2008,64th,81.0,7.2,7.5,7.3,5.9,7.0,5.3,8.1,5.5,6.9,6.0,7.8,6.5
Cape Verde,2008,65th,80.7,5.8,6.4,4.8,7.8,6.2,8.2,7.3,7.2,6.4,7.9,4.8,7.9
Guatemala,2008,66th,80.6,7.3,6.0,6.9,6.7,8.0,6.7,7.2,6.6,7.1,6.8,6.0,5.3
Maldives,2008,67th,80.4,6.3,7.6,4.9,7.1,4.9,7.0,7.6,7.1,7.7,7.7,6.5,6.0
China,2008,68th,80.3,5.2,7.0,7.8,4.0,9.0,6.3,8.3,6.6,8.9,8.8,5.1,3.3
Ecuador,2008,68th,80.3,6.7,7.9,6.5,5.9,7.8,7.3,7.1,6.8,6.4,6.2,6.0,5.7
Serbia  ,2008,70th,80.1,6.3,8.0,7.9,6.5,7.5,5.5,7.4,5.0,6.1,6.0,7.3,6.6
Djibouti,2008,71st,80.0,6.5,6.9,5.5,7.1,6.2,5.2,7.4,7.3,6.2,7.7,6.4,7.6
Swaziland,2008,71st,80.0,6.5,6.9,4.0,7.8,6.1,5.5,8.5,7.5,7.5,8.8,4.0,6.9
Russia,2008,73rd,79.7,7.0,8.0,7.5,3.7,7.9,6.5,7.9,5.9,8.7,7.0,5.4,4.2
Comoros,2008,74th,79.6,7.0,6.7,5.3,7.3,6.1,6.0,8.1,8.5,6.9,6.7,3.6,7.4
Tanzania,2008,75th,79.1,5.7,5.8,6.4,7.2,6.9,6.0,6.3,7.6,5.8,7.4,7.0,7.0
Cuba,2008,76th,78.6,7.7,7.0,5.5,6.1,7.2,6.8,7.6,4.0,7.8,6.5,4.7,7.7
Dominican Republic,2008,77th,78.4,6.1,7.0,6.1,5.6,8.1,8.3,5.8,6.9,7.0,6.5,5.4,5.6
Sao Tome and Principe,2008,78th,78.3,5.8,6.2,5.1,8.3,6.1,7.4,7.4,7.9,5.3,7.9,4.5,6.4
Venezuela,2008,79th,77.9,6.6,7.5,6.8,4.6,8.0,6.9,7.1,6.3,7.4,6.5,5.0,5.2
Algeria,2008,80th,77.8,6.7,6.2,7.2,4.0,7.3,5.9,7.5,6.8,7.6,6.1,6.8,5.7
Peru,2008,81st,77.5,7.4,7.0,6.9,5.7,8.1,7.5,6.4,6.4,5.5,6.9,4.2,5.5
Jordan,2008,82nd,77.3,6.0,6.5,6.5,6.6,7.5,4.7,6.0,5.6,6.7,6.7,7.8,6.7
Gambia,2008,83rd,76.9,5.8,5.9,4.2,7.5,7.0,6.0,7.9,6.6,6.8,6.9,5.8,6.5
Saudi Arabia,2008,83rd,76.9,7.3,7.7,7.7,2.3,7.0,3.4,8.8,4.3,9.1,6.3,6.2,6.8
Mozambique,2008,85th,76.8,5.8,5.6,4.7,7.4,7.2,7.8,7.3,8.0,7.0,7.8,2.2,6.0
Madagascar,2008,86th,76.7,5.8,7.0,5.1,7.4,7.2,5.0,6.0,8.7,6.0,8.5,2.5,7.5
Fiji,2008,87th,76.6,7.0,8.2,7.5,5.9,7.5,6.0,8.7,4.4,5.9,5.9,4.0,5.6
Morocco,2008,88th,75.8,5.1,5.7,6.8,6.6,7.6,6.2,7.3,6.0,6.6,6.6,7.1,4.2
Mali,2008,89th,75.6,5.9,3.7,6.1,8.5,6.6,7.4,4.7,8.6,4.6,8.5,4.4,6.6
Thailand,2008,89th,75.6,7.0,7.7,7.7,3.6,7.5,4.4,7.7,5.5,6.2,6.8,6.0,5.5
El Salvador,2008,91st,75.5,6.3,3.9,6.0,6.0,7.6,7.0,7.0,6.5,7.0,7.4,5.6,5.2
Turkey,2008,92nd,75.4,6.7,7.5,7.6,4.6,8.2,5.0,6.0,5.2,5.5,6.7,6.2,6.2
Gabon,2008,93rd,75.0,5.6,7.2,3.0,5.2,8.1,6.0,7.5,7.0,6.5,6.9,6.2,5.8
Honduras,2008,94th,74.9,6.2,6.3,5.3,7.2,8.7,6.5,7.4,6.6,6.1,7.2,2.0,5.4
Macedonia,2008,95th,74.6,5.8,6.6,7.4,6.0,7.4,7.0,7.6,5.1,5.3,5.4,4.6,6.4
Vietnam,2008,95th,74.6,6.4,6.9,5.3,6.1,6.2,6.0,7.2,6.0,7.0,6.6,5.0,5.9
Micronesia,2008,97th,74.0,5.7,5.4,5.0,6.6,7.3,8.6,6.9,7.2,2.5,7.7,2.9,8.2
India,2008,98th,72.9,6.6,6.0,7.0,4.6,8.9,6.9,4.8,6.7,6.0,8.0,3.2,4.2
Namibia,2008,98th,72.9,5.5,3.2,5.4,6.0,8.9,7.6,4.7,7.1,6.0,7.2,5.0,6.3
Benin,2008,100th,72.8,5.2,3.8,4.0,7.0,7.4,6.7,6.7,8.1,5.2,6.9,5.2,6.6
Kazakhstan,2008,101st,72.4,6.5,7.8,5.2,6.0,6.5,4.0,7.7,5.5,6.8,6.2,3.6,6.6
Samoa,2008,101st,72.4,6.3,5.4,5.0,6.1,6.9,8.2,6.7,4.8,4.6,6.8,3.2,8.4
Suriname,2008,101st,72.4,6.0,5.4,6.1,6.2,8.3,6.7,6.4,4.9,6.0,6.5,3.9,6.0
Paraguay,2008,104th,72.3,5.0,7.7,6.2,6.2,7.7,6.0,8.3,6.0,7.1,6.6,1.3,4.2
Guyana,2008,105th,72.2,6.7,5.1,5.7,6.4,7.8,7.9,6.4,5.7,5.4,6.3,3.6,5.2
Mexico,2008,105th,72.2,5.8,4.8,5.8,6.0,8.4,7.0,6.1,5.7,5.1,7.0,4.0,6.5
Senegal,2008,107th,70.9,6.0,4.0,6.0,6.0,7.1,5.1,5.7,7.0,6.0,7.0,5.5,5.5
Ukraine,2008,108th,70.8,3.0,7.9,7.2,5.0,6.7,7.3,7.3,4.5,5.9,6.5,3.2,6.3
Armenia,2008,109th,70.7,4.5,6.0,5.0,5.6,6.0,6.7,6.5,6.0,5.5,5.8,7.5,5.6
Belize,2008,110th,70.2,5.7,5.0,5.2,5.8,7.6,6.9,6.5,5.7,3.8,6.8,5.5,5.7
Libya,2008,111th,70.0,5.6,7.0,5.6,5.3,7.3,4.0,7.4,4.5,8.1,6.2,4.0,5.0
Albania,2008,112th,69.7,5.5,5.7,5.4,6.3,6.1,7.5,7.2,5.9,5.4,6.2,2.7,5.8
Cyprus,2008,112th,69.7,5.0,8.4,8.3,4.2,7.5,5.2,5.5,3.8,3.5,4.9,4.2,9.2
Seychelles,2008,114th,69.5,6.0,6.5,5.4,3.9,6.8,4.7,7.6,4.1,6.3,6.7,4.8,6.7
Grenada,2008,115th,69.0,5.4,5.7,4.9,5.8,7.1,7.9,6.5,4.1,4.9,5.7,3.0,8.0
Brunei Darussalam,2008,116th,68.5,6.3,7.4,6.7,3.2,7.4,4.2,7.7,3.3,6.8,5.9,4.9,4.7
Brazil,2008,117th,67.6,7.1,4.9,6.1,3.7,8.8,5.0,6.2,6.0,5.6,6.3,3.3,4.6
Malaysia,2008,118th,67.2,6.3,5.7,5.9,4.2,6.9,3.6,5.9,5.1,6.5,6.3,5.0,5.8
Trinidad and Tobago,2008,119th,67.0,5.7,5.9,5.2,4.0,7.7,6.7,6.4,5.5,5.4,5.5,3.6,5.4
Botswana,2008,120th,65.9,3.9,2.8,3.4,5.3,6.9,6.0,5.4,6.2,4.8,9.2,6.0,6.0
Jamaica,2008,121st,65.7,5.6,4.0,4.3,6.0,6.5,6.5,6.9,6.0,5.4,6.1,2.4,6.0
Tunisia,2008,122nd,65.6,5.9,6.2,5.1,4.3,7.2,5.1,6.6,5.9,7.3,5.6,3.4,3.0
Ghana,2008,123rd,64.6,2.4,3.9,5.1,5.0,6.8,8.0,5.5,6.9,4.5,6.8,5.0,4.7
Antigua and Barbuda,2008,124th,64.1,5.2,4.6,4.9,4.6,6.9,7.9,6.0,4.9,5.5,4.9,3.3,5.4
South Africa,2008,125th,62.7,3.9,4.4,4.9,4.2,8.5,4.0,5.0,5.7,4.2,8.4,7.0,2.5
Kuwait,2008,126th,62.0,5.1,6.9,4.7,2.9,6.1,4.1,6.7,3.3,7.0,5.5,4.4,5.3
Bahamas,2008,127th,60.5,5.4,5.3,5.3,3.7,7.2,5.4,5.9,4.3,3.0,6.2,3.6,5.2
Romania,2008,128th,59.9,3.4,4.7,5.2,5.2,6.1,5.2,5.9,5.2,4.8,5.3,3.5,5.4
Croatia,2008,129th,59.4,3.9,3.9,5.7,5.3,5.5,5.0,4.4,4.1,4.5,5.1,6.3,5.7
Panama,2008,130th,58.6,5.0,2.9,4.4,5.6,7.5,5.0,4.6,5.4,4.7,6.4,3.1,4.0
Barbados,2008,131st,58.5,5.3,4.8,5.5,5.0,7.0,6.9,5.9,2.6,3.0,4.1,3.3,5.1
Bulgaria,2008,131st,58.5,5.2,3.9,4.0,4.3,6.0,5.7,5.4,4.6,4.7,5.1,4.1,5.5
Mongolia,2008,133rd,57.8,4.8,4.7,4.1,5.5,5.4,2.1,6.0,5.3,6.2,5.8,1.0,6.9
Bahrain,2008,134th,56.8,3.7,6.0,6.0,3.3,5.0,3.7,7.0,3.4,4.7,5.3,3.1,5.6
Montenegro,2008,135th,55.8,4.6,6.0,6.1,4.0,4.3,2.5,4.3,3.6,5.6,5.4,4.1,5.3
Latvia,2008,136th,54.5,3.0,4.4,4.6,5.0,6.0,5.0,4.7,4.2,3.8,4.9,4.9,4.0
Qatar,2008,137th,52.7,2.3,4.9,5.3,4.6,5.0,3.3,6.8,2.6,5.0,4.7,3.3,4.9
United Arab Emirates,2008,138th,51.2,1.9,3.8,4.3,2.6,5.5,3.4,7.0,3.9,5.9,5.0,3.6,4.3
Estonia,2008,139th,51.0,2.6,5.7,5.1,3.7,4.9,4.0,4.8,3.8,3.5,4.8,4.8,3.3
Costa Rica,2008,140th,50.9,2.2,3.3,4.0,4.6,6.6,4.8,4.1,3.5,3.5,5.6,4.2,4.5
Hungary,2008,140th,50.9,1.9,5.3,3.4,4.3,6.1,5.0,5.7,3.8,4.0,3.7,3.4,4.3
Slovak Republic,2008,142nd,48.8,2.0,4.2,4.2,4.2,6.2,5.3,4.0,4.1,4.3,4.3,1.8,4.2
Lithuania,2008,143rd,48.7,2.0,3.0,3.9,4.5,6.2,5.4,4.4,3.5,3.5,4.9,3.1,4.3
Malta,2008,144th,48.3,4.3,1.6,3.9,3.5,4.5,4.6,4.3,3.4,3.5,3.8,6.1,4.8
Poland,2008,145th,47.6,2.0,3.3,3.2,4.3,4.8,6.4,4.2,3.8,3.8,4.8,3.0,4.0
Oman,2008,146th,47.4,5.3,6.9,3.0,3.9,2.0,1.1,6.3,4.4,6.6,4.6,1.3,2.0
Greece,2008,147th,45.4,3.1,1.6,4.3,3.7,5.0,5.0,4.0,3.6,3.9,4.9,2.6,3.7
Mauritius,2008,148th,42.4,3.5,3.0,3.5,3.8,5.9,2.1,5.1,4.1,3.9,3.6,1.1,2.8
Czech Republic,2008,149th,42.1,2.0,3.5,3.2,3.4,3.9,4.8,3.7,3.8,3.5,3.8,3.1,3.4
Spain,2008,150th,41.6,5.2,5.6,6.2,3.4,5.0,1.6,1.4,2.4,2.8,3.9,2.1,2.0
Argentina,2008,151st,41.4,1.9,2.7,4.0,4.5,5.2,4.0,3.4,3.9,3.7,3.8,1.5,2.8
Uruguay,2008,151st,41.4,3.0,2.3,2.0,3.7,5.1,5.9,2.9,4.0,2.5,5.1,1.1,3.8
South Korea,2008,153rd,40.6,1.0,3.3,4.0,1.6,2.4,5.3,3.9,2.0,2.7,4.0,3.9,6.5
Italy,2008,154th,39.9,3.7,3.3,4.0,3.8,4.5,3.0,3.8,2.5,2.1,3.7,3.5,2.0
Germany,2008,155th,37.3,2.5,1.8,4.9,2.8,5.3,2.8,2.3,1.9,2.7,3.9,4.3,2.1
Slovenia,2008,156th,37.1,3.0,1.1,3.4,3.0,5.2,3.5,3.2,3.5,3.5,4.0,1.7,2.0
Chile,2008,157th,36.3,2.0,1.5,3.9,3.7,4.6,2.1,2.0,3.8,3.9,3.8,2.0,3.0
France,2008,158th,34.8,1.0,1.8,6.0,3.0,5.5,2.0,1.7,1.4,3.2,4.1,3.1,2.0
Singapore,2008,159th,33.3,1.0,4.0,3.0,3.1,2.9,2.7,4.0,1.5,4.3,2.9,1.1,2.8
United Kingdom,2008,160th,32.9,3.0,2.7,4.5,1.7,4.5,2.0,2.0,1.8,2.6,3.0,3.0,2.1
United States,2008,161st,32.8,1.3,2.0,3.2,2.3,5.5,1.0,3.0,1.8,4.2,3.5,4.0,1.0
Portugal,2008,162nd,31.8,1.0,1.3,2.5,3.8,3.6,2.1,1.5,4.0,3.5,4.3,1.0,3.2
Japan,2008,163rd,29.7,2.0,1.7,3.8,2.3,2.5,2.0,1.8,1.2,3.4,4.3,1.1,3.6
Belgium,2008,164th,29.0,1.6,3.0,4.7,2.5,4.6,1.1,1.8,1.4,1.5,3.2,1.6,2.0
Luxembourg,2008,165th,27.9,2.0,3.0,3.7,1.8,2.5,1.2,3.3,2.6,1.6,2.1,1.8,2.3
Netherlands,2008,166th,27.3,1.0,1.0,4.9,2.0,3.7,2.2,1.3,1.4,1.4,3.4,3.0,2.0
Canada,2008,167th,26.3,1.0,1.8,3.0,1.5,5.0,2.1,1.5,1.2,2.0,3.3,2.4,1.5
Austria,2008,168th,25.9,1.0,2.0,3.5,1.9,4.9,1.1,1.3,1.4,1.5,2.8,2.2,2.3
Australia,2008,169th,24.6,0.9,1.5,3.5,2.3,4.4,1.1,1.0,1.4,2.5,2.9,2.0,1.1
Denmark,2008,170th,21.5,1.0,1.0,2.5,2.1,1.9,2.0,1.0,1.4,1.5,3.2,1.9,2.0
New Zealand,2008,171st,21.4,1.0,1.0,2.9,3.0,4.0,2.1,1.1,1.4,1.5,1.1,1.2,1.1
Iceland,2008,172nd,20.9,1.0,0.8,1.0,3.0,2.8,3.2,1.3,1.3,2.1,1.0,0.9,2.5
Switzerland,2008,173rd,20.3,1.0,1.0,2.6,1.5,2.6,2.0,1.0,1.4,1.7,2.9,1.7,0.9
Ireland,2008,174th,19.9,1.0,1.0,1.0,2.0,3.0,2.0,1.5,2.0,1.5,1.9,1.5,1.5
Sweden,2008,175th,19.8,0.9,1.0,1.3,1.2,2.1,2.0,1.0,1.2,1.4,3.2,3.0,1.5
Finland,2008,176th,18.4,0.9,0.7,1.0,2.0,1.9,2.1,0.9,1.2,1.5,2.6,1.6,2.0
Norway,2008,177th,16.8,1.0,1.0,1.0,1.8,2.0,1.1,1.0,1.3,1.5,2.0,1.6,1.5
