Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Change from Previous Year
Yemen,2020,1st,112.4,9.7,10.0,9.7,9.4,7.8,7.0,9.9,9.5,10.0,9.8,9.7,10.0,-1.1
Somalia,2020,2nd,110.9,9.8,10.0,8.6,9.1,9.4,8.9,8.9,9.1,9.0,10.0,9.1,9.0,-1.3
South Sudan,2020,3rd,110.8,9.4,9.7,9.1,9.5,9.2,6.8,9.9,9.5,9.0,9.5,9.7,9.5,-1.4
Syria,2020,4th,110.7,9.9,9.9,10.0,8.7,7.2,8.4,10.0,9.1,10.0,7.6,10.0,10.0,-0.9
Congo Democratic Republic,2020,5th,109.4,8.5,9.8,9.7,8.0,8.6,6.9,9.7,9.5,9.5,9.8,10.0,9.4,-0.8
Central African Republic,2020,6th,107.5,8.3,9.7,8.0,8.4,9.9,6.8,8.9,10.0,9.2,8.8,10.0,9.5,-1.4
Chad,2020,7th,106.4,9.2,9.5,8.3,8.5,8.9,8.4,9.3,9.4,8.5,9.6,9.2,7.7,-2.1
Sudan,2020,8th,104.8,8.4,9.4,9.4,8.1,8.0,8.0,9.3,8.3,8.9,9.1,9.3,8.6,-3.1
Afghanistan,2020,9th,102.9,9.9,8.9,7.5,8.3,7.7,7.5,9.0,9.5,7.6,9.0,9.3,8.6,-2.1
Zimbabwe,2020,10th,99.2,8.5,10.0,6.4,8.6,7.6,7.0,9.1,8.7,8.3,9.3,8.5,7.2,-0.3
Burundi,2020,11th,97.9,8.3,7.9,7.6,8.5,7.3,5.9,9.1,7.9,9.1,9.2,8.5,8.5,-0.2
Cameroon,2020,11th,97.9,8.2,9.3,8.6,6.8,7.7,7.6,8.9,8.3,7.8,8.8,8.6,7.3,0.9
Haiti,2020,13th,97.7,6.9,9.6,5.6,8.5,9.1,8.1,9.1,9.3,6.9,8.2,7.1,9.3,-1.6
Nigeria,2020,14th,97.3,8.7,9.9,9.1,7.9,7.8,6.6,8.1,8.9,8.4,9.3,6.9,5.7,-1.3
Guinea,2020,15th,97.2,8.3,9.6,9.2,8.3,7.0,6.8,9.9,9.2,6.8,8.3,7.3,6.5,-2.2
Mali,2020,16th,96.0,9.5,5.7,8.4,7.3,7.0,8.0,7.0,8.8,7.7,8.6,8.4,9.6,1.4
Iraq,2020,17th,95.9,8.2,9.6,8.5,5.6,6.4,6.8,9.1,8.4,7.8,8.1,8.6,8.8,-3.2
Eritrea,2020,18th,95.8,6.5,8.1,8.0,7.4,8.6,8.8,9.4,7.5,8.7,8.2,7.7,7.0,-0.6
Niger,2020,19th,95.3,8.8,8.9,7.8,6.8,7.7,7.3,7.0,9.2,6.9,8.7,8.4,7.8,-1.0
Libya,2020,20th,95.2,9.5,9.7,7.8,8.0,5.3,5.7,9.8,6.9,9.4,5.3,8.0,9.8,3.1
Ethiopia,2020,21st,94.6,7.9,8.9,9.0,6.1,6.2,6.3,8.5,8.3,7.9,9.1,8.8,7.6,0.4
Myanmar,2020,22nd,94.0,8.8,8.0,9.8,5.0,7.0,6.8,8.0,8.4,9.4,6.3,9.1,7.4,-0.3
Guinea Bissau,2020,23rd,92.9,8.0,9.6,4.6,7.4,9.4,7.2,8.6,8.6,6.9,8.4,6.4,7.7,-2.5
Uganda,2020,24th,92.8,7.2,8.9,8.0,6.0,6.8,7.0,8.3,7.3,7.7,9.2,8.8,7.6,-2.5
Pakistan,2020,25th,92.1,8.2,9.0,9.1,7.1,5.6,6.5,7.6,7.7,7.1,7.9,7.8,8.5,-2.1
Congo Republic,2020,25th,92.1,7.3,6.7,8.1,7.8,8.4,7.1,9.1,8.6,8.1,8.0,6.7,6.2,-0.4
Mozambique,2020,27th,91.7,6.8,7.1,5.3,8.3,9.5,7.4,7.3,9.4,5.3,9.8,7.6,7.9,3.1
Venezuela,2020,28th,91.2,7.2,9.2,7.3,8.7,6.6,6.4,9.3,8.4,9.0,6.5,6.6,6.0,1.9
Kenya,2020,29th,90.3,7.7,8.6,8.3,6.5,7.3,6.9,7.9,7.7,6.5,8.3,7.4,7.2,-3.3
North Korea,2020,30th,90.2,8.3,8.5,5.5,8.6,7.2,4.1,9.9,8.3,9.4,6.8,4.1,9.5,-2.5
Liberia,2020,31st,90.0,6.9,8.3,4.9,8.3,7.5,7.2,7.1,9.0,6.2,8.5,7.8,8.4,-0.2
Cote d'Ivoire,2020,32nd,89.7,7.1,9.1,7.6,6.4,7.5,6.7,7.0,8.1,7.0,8.2,6.9,8.1,-2.3
Mauritania,2020,33rd,88.7,6.6,8.8,7.3,6.8,5.9,6.6,8.0,8.4,7.2,8.5,7.6,7.1,-1.3
Angola,2020,34th,87.3,7.1,7.2,7.8,6.9,9.0,6.3,8.0,8.7,6.4,8.8,6.2,4.9,-0.5
Rwanda,2020,35th,86.0,6.1,8.0,9.9,5.9,7.8,6.8,6.9,6.5,6.3,7.5,7.8,6.6,-1.5
Egypt,2020,35th,86.0,7.9,9.1,8.6,7.6,5.4,5.3,8.6,4.2,9.7,6.2,6.4,7.0,-2.3
Burkina Faso,2020,37th,85.9,8.7,7.8,4.4,6.7,7.3,7.1,6.2,8.4,5.7,8.6,7.0,8.0,2.1
Togo,2020,38th,85.8,6.7,7.6,5.7,6.7,8.4,7.2,8.5,8.2,6.9,7.5,6.6,5.8,-1.6
Bangladesh,2020,39th,85.7,7.3,9.3,8.3,5.8,6.0,7.3,7.3,7.2,7.0,7.1,7.6,5.5,-2.0
Lebanon,2020,40th,84.7,7.8,9.6,8.2,7.0,4.9,5.9,7.4,4.8,6.9,4.7,8.7,8.8,-0.2
Zambia,2020,41st,84.5,4.8,5.9,5.0,7.8,9.4,7.0,7.8,7.7,7.1,9.4,5.8,6.7,-1.1
Sierra Leone,2020,42nd,84.4,4.1,7.8,5.9,8.3,8.0,7.7,6.0,8.5,5.2,8.8,7.1,7.0,-2.4
Malawi,2020,43rd,84.0,5.1,8.1,5.0,7.7,8.1,7.1,6.6,7.9,5.6,9.4,5.7,7.7,0.6
Iran,2020,44th,83.4,7.2,9.6,9.6,7.2,5.0,5.6,9.2,3.7,9.2,4.5,5.6,7.0,0.4
Equatorial Guinea,2020,45th,83.0,6.2,8.2,6.6,5.7,8.0,4.6,9.8,8.4,8.3,8.2,4.8,4.1,0.4
Swaziland,2020,45th,83.0,5.4,6.8,2.5,9.5,7.9,6.7,8.6,7.2,8.5,8.6,4.3,7.0,-2.3
Djibouti,2020,47th,82.7,5.6,7.3,5.6,6.7,7.4,4.9,8.1,7.3,7.4,7.5,7.0,7.9,-2.4
Timor-Leste,2020,47th,82.7,6.5,8.3,5.6,7.2,6.5,7.3,5.8,7.6,4.4,8.9,5.7,8.9,-2.8
Nepal,2020,49th,82.6,5.6,8.8,9.7,5.3,5.8,6.1,6.3,6.3,6.8,8.1,7.5,6.2,-2.1
Papua New Guinea,2020,50th,82.3,7.0,7.1,5.4,6.7,9.1,6.8,6.0,9.2,6.9,7.6,4.6,5.9,-0.7
Gambia,2020,51st,82.2,6.0,7.7,2.9,8.1,6.0,7.6,7.5,7.2,8.1,8.4,6.3,6.4,-1.7
Sri Lanka,2020,52nd,81.8,7.1,9.1,9.1,5.2,6.2,7.0,6.6,4.2,8.1,5.7,7.5,6.0,-2.1
Comoros,2020,53rd,81.2,6.5,8.0,4.5,7.3,7.0,6.5,7.4,7.5,5.8,7.9,5.8,7.1,-0.4
Philippines,2020,54th,81.0,9.2,8.0,7.6,4.6,4.8,5.7,7.3,5.8,7.5,7.6,6.6,6.3,-2.1
Cambodia,2020,55th,80.3,6.7,8.6,6.0,5.0,5.9,6.9,8.4,7.7,7.3,5.9,4.8,7.1,-2.3
Solomon Islands,2020,56th,79.7,5.9,8.2,5.6,6.8,8.1,6.6,5.9,7.7,4.3,7.4,4.1,9.1,-2.2
Madagascar,2020,57th,79.5,6.6,7.8,3.2,7.0,8.9,6.4,6.2,8.3,5.8,9.2,4.2,5.9,-1.5
Guatemala,2020,58th,79.2,7.1,7.1,9.4,4.8,7.2,7.2,6.4,6.7,7.0,6.9,5.1,4.3,-2.1
Turkey,2020,59th,79.1,7.5,8.8,10.0,4.6,5.0,4.4,7.5,4.4,8.3,4.6,8.7,5.4,-1.2
Lesotho,2020,60th,78.3,6.7,7.3,3.0,8.4,8.3,7.8,5.0,7.2,5.1,8.0,4.6,6.9,-1.3
Tanzania,2020,61st,78.1,5.5,5.7,4.7,5.9,6.8,7.3,6.4,8.5,6.1,8.6,5.8,6.9,-2.0
Nicaragua,2020,62nd,77.1,6.1,7.1,5.6,5.6,7.3,7.6,8.4,5.9,7.6,4.8,4.0,7.1,-1.0
Laos,2020,63rd,76.9,4.7,8.3,6.9,5.1,5.6,7.1,9.0,6.1,7.0,6.4,5.4,5.2,-1.8
Honduras,2020,64th,76.8,7.2,7.0,5.0,5.8,6.8,6.4,7.0,6.5,6.9,5.6,5.4,7.2,-1.1
Colombia,2020,65th,76.6,7.2,7.6,7.2,4.8,6.5,5.3,5.8,5.6,6.5,6.5,7.9,5.7,0.9
Tajikistan,2020,66th,75.5,6.0,8.4,6.5,6.4,4.2,5.7,9.0,4.9,8.3,7.0,3.8,5.2,-2.2
Jordan,2020,67th,75.4,5.5,6.9,8.9,6.5,4.9,4.8,6.1,3.8,7.1,5.6,8.5,6.8,-0.5
India,2020,68th,75.3,6.9,7.3,8.5,5.6,6.1,5.8,4.0,6.5,7.6,7.8,4.4,4.8,1.0
Israel and West Bank,2020,69th,75.1,6.0,8.4,10.0,3.9,5.9,4.7,5.9,3.9,6.6,5.1,7.5,7.2,-1.5
Bolivia,2020,70th,75.0,6.2,9.0,5.9,5.1,8.3,6.5,7.5,5.9,6.2,6.1,3.3,4.9,2.1
Algeria,2020,71st,74.6,6.3,7.8,7.5,6.2,5.7,5.8,8.3,5.1,6.3,4.5,7.1,4.0,-0.6
Senegal,2020,71st,74.6,5.4,7.0,5.5,6.9,7.0,7.4,3.8,7.2,5.1,7.1,6.4,5.8,-2.7
Kyrgyz Republic,2020,73rd,73.9,6.5,8.0,8.4,6.1,5.0,6.7,6.8,4.3,6.6,5.0,4.4,6.1,-2.3
Uzbekistan,2020,74th,73.1,6.5,8.8,6.3,5.5,5.9,5.2,9.4,4.1,7.6,4.8,4.7,4.3,-2.6
Brazil,2020,75th,73.0,7.1,6.2,7.3,5.2,7.1,4.2,6.7,6.9,7.0,7.8,3.6,3.9,1.2
Russia,2020,76th,72.6,8.0,8.1,8.3,4.9,5.3,3.5,8.3,3.3,8.8,4.1,4.9,5.1,-2.1
